date,time,home,away,competition,title,url
2025-01-18,19:00,شباب المحمدية,نهضة الزمامرة | يلاكورة,morrocan league,مباراة شباب المحمدية و نهضة الزمامرة | يلاكورة,https://www.yallakora.com/morrocan-league/2933/match/100947/%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a7%d9%84%d9%85%d8%ad%d9%85%d8%af%d9%8a%d8%a9-%d9%86%d9%87%d8%b6%d8%a9-%d8%a7%d9%84%d8%b2%d9%85%d8%a7%d9%85%d8%b1%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a
2025-01-18,19:00,يوفنتوس,ميلان | يلاكورة,serie a,مباراة يوفنتوس و ميلان | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100365/%d9%8a%d9%88%d9%81%d9%86%d8%aa%d9%88%d8%b3-%d9%85%d9%8a%d9%84%d8%a7%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
2025-01-18,19:30,أرسنال,أستون فيلا | يلاكورة,epl,مباراة أرسنال و أستون فيلا | يلاكورة,https://www.yallakora.com/epl/2906/match/97874/%d8%a3%d8%b1%d8%b3%d9%86%d8%a7%d9%84-%d8%a3%d8%b3%d8%aa%d9%88%d9%86-%d9%81%d9%8a%d9%84%d8%a7--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a
2025-01-18,19:30,باير ليفركوزن,مونشنجلادباخ | يلاكورة,bundesliga,مباراة باير ليفركوزن و مونشنجلادباخ | يلاكورة,https://www.yallakora.com/bundesliga/2909/match/100602/%d8%a8%d8%a7%d9%8a%d8%b1-%d9%84%d9%8a%d9%81%d8%b1%d9%83%d9%88%d8%b2%d9%86-%d9%85%d9%88%d9%86%d8%b4%d9%86%d8%ac%d9%84%d8%a7%d8%af%d8%a8%d8%a7%d8%ae-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a
2025-01-18,19:30,ريال بيتيس,ألافيس | يلاكورة,la liga,مباراة ريال بيتيس و ألافيس | يلاكورة,https://www.yallakora.com/la-liga/2907/match/100383/%d8%b1%d9%8a%d8%a7%d9%84-%d8%a8%d9%8a%d8%aa%d9%8a%d8%b3-%d8%a3%d9%84%d8%a7%d9%81%d9%8a%d8%b3-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a
2025-01-18,20:00,رين,بريست | يلاكورة,ligue1,مباراة رين و بريست | يلاكورة,https://www.yallakora.com/ligue1/2908/match/100668/%d8%b1%d9%8a%d9%86-%d8%a8%d8%b1%d9%8a%d8%b3%d8%aa-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a
2025-01-18,21:00,الاتحاد التوركي,الشباب الرياضي السالمي | يلاكورة,morrocan league,مباراة الاتحاد التوركي و الشباب الرياضي السالمي | يلاكورة,https://www.yallakora.com/morrocan-league/2933/match/100948/%d8%a7%d9%84%d8%a7%d8%aa%d8%ad%d8%a7%d8%af-%d8%a7%d9%84%d8%aa%d9%88%d8%b1%d9%83%d9%8a-%d8%a7%d9%84%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a-%d8%a7%d9%84%d8%b3%d8%a7%d9%84%d9%85%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a
2025-01-18,21:45,أتالانتا,نابولي | يلاكورة,serie a,مباراة أتالانتا و نابولي | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100954/%d8%a3%d8%aa%d8%a7%d9%84%d8%a7%d9%86%d8%aa%d8%a7-%d9%86%d8%a7%d8%a8%d9%88%d9%84%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
2025-01-18,22:00,خيتافي,برشلونة | يلاكورة,la liga,مباراة خيتافي و برشلونة | يلاكورة,https://www.yallakora.com/la-liga/2907/match/100386/%d8%ae%d9%8a%d8%aa%d8%a7%d9%81%d9%8a-%d8%a8%d8%b1%d8%b4%d9%84%d9%88%d9%86%d8%a9--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a
2025-01-18,22:00,ليون,تولوز | يلاكورة,ligue1,مباراة ليون و تولوز | يلاكورة,https://www.yallakora.com/ligue1/2908/match/100667/%d9%84%d9%8a%d9%88%d9%86-%d8%aa%d9%88%d9%84%d9%88%d8%b2-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a
2025-01-19,12:30,جوزتيبي,انطاليا سبور | يلاكورة,turkish super lig,مباراة جوزتيبي و انطاليا سبور | يلاكورة,https://www.yallakora.com/turkish-super-lig/2930/match/100928/%d8%ac%d9%88%d8%b2%d8%aa%d9%8a%d8%a8%d9%8a-%d8%a7%d9%86%d8%b7%d8%a7%d9%84%d9%8a%d8%a7-%d8%b3%d8%a8%d9%88%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a
2025-01-19,13:30,فيورنتينا,تورينو | يلاكورة,serie a,مباراة فيورنتينا و تورينو | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100363/%d9%81%d9%8a%d9%88%d8%b1%d9%86%d8%aa%d9%8a%d9%86%d8%a7-%d8%aa%d9%88%d8%b1%d9%8a%d9%86%d9%88-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
2025-01-19,15:00,سيلتا فيجو,أتلتيك بلباو | يلاكورة,la liga,مباراة سيلتا فيجو و أتلتيك بلباو | يلاكورة,https://www.yallakora.com/la-liga/2907/match/100390/%d8%b3%d9%8a%d9%84%d8%aa%d8%a7-%d9%81%d9%8a%d8%ac%d9%88-%d8%a3%d8%aa%d9%84%d8%aa%d9%8a%d9%83-%d8%a8%d9%84%d8%a8%d8%a7%d9%88--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a
2025-01-19,15:00,قونيا سبور,قاسم باشا | يلاكورة,turkish super lig,مباراة قونيا سبور و قاسم باشا | يلاكورة,https://www.yallakora.com/turkish-super-lig/2930/match/100929/%d9%82%d9%88%d9%86%d9%8a%d8%a7-%d8%b3%d8%a8%d9%88%d8%b1-%d9%82%d8%a7%d8%b3%d9%85-%d8%a8%d8%a7%d8%b4%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a
2025-01-19,16:00,ايفرتون,توتنهام هوتسبر | يلاكورة,epl,مباراة ايفرتون و توتنهام هوتسبر | يلاكورة,https://www.yallakora.com/epl/2906/match/97877/%d8%a7%d9%8a%d9%81%d8%b1%d8%aa%d9%88%d9%86-%d8%aa%d9%88%d8%aa%d9%86%d9%87%d8%a7%d9%85-%d9%87%d9%88%d8%aa%d8%b3%d8%a8%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a
2025-01-19,16:00,بارما,فينيزيا | يلاكورة,serie a,مباراة بارما و فينيزيا | يلاكورة,https://www.yallakora.com/serie-a/2910/match/100370/%d8%a8%d8%a7%d8%b1%d9%85%d8%a7-%d9%81%d9%8a%d9%86%d9%8a%d8%b2%d9%8a%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a
