date,time,home,away,competition,title,url
2024-01-02,14:30,القناة,راية الرياضي | يلاكورة,egyptian second division,مباراة القناة و راية الرياضي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92740/%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a9-%d8%b1%d8%a7%d9%8a%d8%a9-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,المصرية للاتصالات,السكة الحديد مودرن | يلاكورة,egyptian second division,مباراة المصرية للاتصالات و السكة الحديد مودرن | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92739/%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%aa%d8%b5%d8%a7%d9%84%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%83%d8%a9-%d8%a7%d9%84%d8%ad%d8%af%d9%8a%d8%af-%d9%85%d9%88%d8%af%d8%b1%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,حرس الحدود,بروكسي | يلاكورة,egyptian second division,مباراة حرس الحدود و بروكسي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92738/%d8%ad%d8%b1%d8%b3-%d8%a7%d9%84%d8%ad%d8%af%d9%88%d8%af-%d8%a8%d8%b1%d9%88%d9%83%d8%b3%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-02,14:30,دكرنس,النجوم | يلاكورة,egyptian second division,مباراة دكرنس و النجوم | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92736/%d8%af%d9%83%d8%b1%d9%86%d8%b3-%d8%a7%d9%84%d9%86%d8%ac%d9%88%d9%85-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,أسوان,طنطا‏ | يلاكورة,egyptian second division,مباراة أسوان و طنطا‏ | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92741/%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d8%b7%d9%86%d8%b7%d8%a7--%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,بترول أسيوط,مصر المقاصة | يلاكورة,egyptian second division,مباراة بترول أسيوط و مصر المقاصة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92734/%d8%a8%d8%aa%d8%b1%d9%88%d9%84-%d8%a3%d8%b3%d9%8a%d9%88%d8%b7-%d9%85%d8%b5%d8%b1-%d8%a7%d9%84%d9%85%d9%82%d8%a7%d8%b5%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,جمهورية شبين,بتروجيت | يلاكورة,egyptian second division,مباراة جمهورية شبين و بتروجيت | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92737/%d8%ac%d9%85%d9%87%d9%88%d8%b1%d9%8a%d8%a9-%d8%b4%d8%a8%d9%8a%d9%86-%d8%a8%d8%aa%d8%b1%d9%88%d8%ac%d9%8a%d8%aa-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,لافيينا أف سي,أبو قير للاسمدة | يلاكورة,egyptian second division,مباراة لافيينا أف سي و أبو قير للاسمدة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92735/%d9%84%d8%a7%d9%81%d9%8a%d9%8a%d9%86%d8%a7-%d8%a3%d9%81-%d8%b3%d9%8a-%d8%a3%d8%a8%d9%88-%d9%82%d9%8a%d8%b1-%d9%84%d9%84%d8%a7%d8%b3%d9%85%d8%af%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,14:30,مكادي,وادي دجلة | يلاكورة,egyptian second division,مباراة مكادي و وادي دجلة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92732/%d9%85%d9%83%d8%a7%d8%af%d9%8a-%d9%88%d8%a7%d8%af%d9%8a-%d8%af%d8%ac%d9%84%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-03,17:00,غزل المحلة,النصر للتعدين | يلاكورة,egyptian second division,مباراة غزل المحلة و النصر للتعدين | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92731/%d8%ba%d8%b2%d9%84-%d8%a7%d9%84%d9%85%d8%ad%d9%84%d8%a9-%d8%a7%d9%84%d9%86%d8%b5%d8%b1-%d9%84%d9%84%d8%aa%d8%b9%d8%af%d9%8a%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-04,18:45,مصر,هولندا | يلاكورة,friendly matches nations,مباراة مصر و هولندا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92851/%d9%85%d8%b5%d8%b1-%d9%87%d9%88%d9%84%d9%86%d8%af%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-05,18:00,قطر,الأردن | يلاكورة,friendly matches nations,مباراة قطر و الأردن | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92965/%d9%82%d8%b7%d8%b1-%d8%a7%d9%84%d8%a3%d8%b1%d8%af%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,15:00,العراق,كوريا الجنوبية | يلاكورة,friendly matches nations,مباراة العراق و كوريا الجنوبية | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92966/%d8%a7%d9%84%d8%b9%d8%b1%d8%a7%d9%82-%d9%83%d9%88%d8%b1%d9%8a%d8%a7-%d8%a7%d9%84%d8%ac%d9%86%d9%88%d8%a8%d9%8a%d8%a9-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,16:00,البـــحرين,أستراليا | يلاكورة,friendly matches nations,مباراة البـــحرين و أستراليا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92967/%d8%a7%d9%84%d8%a8%d9%80%d9%80%d9%80%d8%ad%d8%b1%d9%8a%d9%86-%d8%a3%d8%b3%d8%aa%d8%b1%d8%a7%d9%84%d9%8a%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,16:00,موزمبيق,ليسوتو | يلاكورة,friendly matches nations,مباراة موزمبيق و ليسوتو | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92983/%d9%85%d9%88%d8%b2%d9%85%d8%a8%d9%8a%d9%82-%d9%84%d9%8a%d8%b3%d9%88%d8%aa%d9%88-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,17:00,مصر,الدنمارك | يلاكورة,friendly matches nations,مباراة مصر و الدنمارك | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92852/%d9%85%d8%b5%d8%b1-%d8%a7%d9%84%d8%af%d9%86%d9%85%d8%a7%d8%b1%d9%83-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,17:15,الإمارات,عمان | يلاكورة,friendly matches nations,مباراة الإمارات و عمان | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92971/%d8%a7%d9%84%d8%a5%d9%85%d8%a7%d8%b1%d8%a7%d8%aa-%d8%b9%d9%85%d8%a7%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,19:00,كوت ديفوار,سيراليون | يلاكورة,friendly matches nations,مباراة كوت ديفوار و سيراليون | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92968/%d9%83%d9%88%d8%aa-%d8%af%d9%8a%d9%81%d9%88%d8%a7%d8%b1-%d8%b3%d9%8a%d8%b1%d8%a7%d9%84%d9%8a%d9%88%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,20:30,تونس,موريتانيا | يلاكورة,friendly matches nations,مباراة تونس و موريتانيا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92969/%d8%aa%d9%88%d9%86%d8%b3-%d9%85%d9%88%d8%b1%d9%8a%d8%aa%d8%a7%d9%86%d9%8a%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-06,21:00,مالي,غينيا بيساو | يلاكورة,friendly matches nations,مباراة مالي و غينيا بيساو | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92970/-%d9%85%d8%a7%d9%84%d9%8a--%d8%ba%d9%8a%d9%86%d9%8a%d8%a7-%d8%a8%d9%8a%d8%b3%d8%a7%d9%88-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-07,14:30,مصر,النرويج | يلاكورة,friendly matches nations,مباراة مصر و النرويج | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92853/%d9%85%d8%b5%d8%b1-%d8%a7%d9%84%d9%86%d8%b1%d9%88%d9%8a%d8%ac-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-07,18:00,مصر,تنزانيا | يلاكورة,friendly matches nations,مباراة مصر و تنزانيا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92744/%d9%85%d8%b5%d8%b1-%d8%aa%d9%86%d8%b2%d8%a7%d9%86%d9%8a%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-08,14:00,النجوم,جمهورية شبين | يلاكورة,egyptian second division,مباراة النجوم و جمهورية شبين | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92854/%d8%a7%d9%84%d9%86%d8%ac%d9%88%d9%85-%d8%ac%d9%85%d9%87%d9%88%d8%b1%d9%8a%d8%a9-%d8%b4%d8%a8%d9%8a%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-08,14:30,النصر للتعدين,المصرية للاتصالات | يلاكورة,egyptian second division,مباراة النصر للتعدين و المصرية للاتصالات | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92856/%d8%a7%d9%84%d9%86%d8%b5%d8%b1-%d9%84%d9%84%d8%aa%d8%b9%d8%af%d9%8a%d9%86-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%aa%d8%b5%d8%a7%d9%84%d8%a7%d8%aa-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-08,14:30,راية الرياضي,بترول أسيوط | يلاكورة,egyptian second division,مباراة راية الرياضي و بترول أسيوط | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92855/%d8%b1%d8%a7%d9%8a%d8%a9-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a-%d8%a8%d8%aa%d8%b1%d9%88%d9%84-%d8%a3%d8%b3%d9%8a%d9%88%d8%b7-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-08,14:30,مصر المقاصة,لافيينا أف سي | يلاكورة,egyptian second division,مباراة مصر المقاصة و لافيينا أف سي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92857/%d9%85%d8%b5%d8%b1-%d8%a7%d9%84%d9%85%d9%82%d8%a7%d8%b5%d8%a9-%d9%84%d8%a7%d9%81%d9%8a%d9%8a%d9%86%d8%a7-%d8%a3%d9%81-%d8%b3%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-08,15:00,غينيا,نيجيريا | يلاكورة,friendly matches nations,مباراة غينيا و نيجيريا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92972/%d8%ba%d9%8a%d9%86%d9%8a%d8%a7-%d9%86%d9%8a%d8%ac%d9%8a%d8%b1%d9%8a%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-08,16:45,موزمبيق,بوتسوانا | يلاكورة,friendly matches nations,مباراة موزمبيق و بوتسوانا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92985/%d9%85%d9%88%d8%b2%d9%85%d8%a8%d9%8a%d9%82-%d8%a8%d9%88%d8%aa%d8%b3%d9%88%d8%a7%d9%86%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-08,20:00,السنغال,النيجر | يلاكورة,friendly matches nations,مباراة السنغال و النيجر | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92973/-%d8%a7%d9%84%d8%b3%d9%86%d8%ba%d8%a7%d9%84--%d8%a7%d9%84%d9%86%d9%8a%d8%ac%d8%b1-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-08,22:00,غانـــا,ناميبيا | يلاكورة,friendly matches nations,مباراة غانـــا و ناميبيا | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92974/%d8%ba%d8%a7%d9%86%d9%80%d9%80%d9%80%d8%a7-%d9%86%d8%a7%d9%85%d9%8a%d8%a8%d9%8a%d8%a7-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-09,13:00,اليــــابان,الأردن | يلاكورة,friendly matches nations,مباراة اليــــابان و الأردن | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92975/%d8%a7%d9%84%d9%8a%d9%80%d9%80%d9%80%d9%80%d8%a7%d8%a8%d8%a7%d9%86-%d8%a7%d9%84%d8%a3%d8%b1%d8%af%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-09,14:30,أبو قير للاسمدة,دكرنس | يلاكورة,egyptian second division,مباراة أبو قير للاسمدة و دكرنس | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92861/%d8%a3%d8%a8%d9%88-%d9%82%d9%8a%d8%b1-%d9%84%d9%84%d8%a7%d8%b3%d9%85%d8%af%d8%a9-%d8%af%d9%83%d8%b1%d9%86%d8%b3-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-09,14:30,السكة الحديد مودرن,مكادي | يلاكورة,egyptian second division,مباراة السكة الحديد مودرن و مكادي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92860/%d8%a7%d9%84%d8%b3%d9%83%d8%a9-%d8%a7%d9%84%d8%ad%d8%af%d9%8a%d8%af-%d9%85%d9%88%d8%af%d8%b1%d9%86-%d9%85%d9%83%d8%a7%d8%af%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-09,14:30,بروكسي,غزل المحلة | يلاكورة,egyptian second division,مباراة بروكسي و غزل المحلة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92859/%d8%a8%d8%b1%d9%88%d9%83%d8%b3%d9%8a-%d8%ba%d8%b2%d9%84-%d8%a7%d9%84%d9%85%d8%ad%d9%84%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-09,14:30,طنطا‏,القناة | يلاكورة,egyptian second division,مباراة طنطا‏ و القناة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92858/%d8%b7%d9%86%d8%b7%d8%a7--%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-09,15:00,زامبيا,الكاميرون | يلاكورة,friendly matches nations,مباراة زامبيا و الكاميرون | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92977/%d8%b2%d8%a7%d9%85%d8%a8%d9%8a%d8%a7--%d8%a7%d9%84%d9%83%d8%a7%d9%85%d9%8a%d8%b1%d9%88%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-09,17:00,بوروندي,الجزائر | يلاكورة,friendly matches nations,مباراة بوروندي و الجزائر | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92976/%d8%a8%d9%88%d8%b1%d9%88%d9%86%d8%af%d9%8a-%d8%a7%d9%84%d8%ac%d8%b2%d8%a7%d8%a6%d8%b1-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-09,17:30,فلسطين,السعودية | يلاكورة,friendly matches nations,مباراة فلسطين و السعودية | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92978/%d9%81%d9%84%d8%b3%d8%b7%d9%8a%d9%86-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-10,14:30,بتروجيت,حرس الحدود | يلاكورة,egyptian second division,مباراة بتروجيت و حرس الحدود | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92863/%d8%a8%d8%aa%d8%b1%d9%88%d8%ac%d9%8a%d8%aa-%d8%ad%d8%b1%d8%b3-%d8%a7%d9%84%d8%ad%d8%af%d9%88%d8%af-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-10,14:30,وادي دجلة,أسوان | يلاكورة,egyptian second division,مباراة وادي دجلة و أسوان | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92862/%d9%88%d8%a7%d8%af%d9%8a-%d8%af%d8%ac%d9%84%d8%a9-%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-10,15:00,جنوب أفريقيا,ليسوتو | يلاكورة,friendly matches nations,مباراة جنوب أفريقيا و ليسوتو | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92981/-%d8%ac%d9%86%d9%88%d8%a8-%d8%a3%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a7--%d9%84%d9%8a%d8%b3%d9%88%d8%aa%d9%88-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-10,17:30,السعودية,هونج كونج | يلاكورة,friendly matches nations,مباراة السعودية و هونج كونج | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92979/%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9-%d9%87%d9%88%d9%86%d8%ac-%d9%83%d9%88%d9%86%d8%ac-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-10,19:30,تونس,كاب فيردي | يلاكورة,friendly matches nations,مباراة تونس و كاب فيردي | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92980/%d8%aa%d9%88%d9%86%d8%b3-%d9%83%d8%a7%d8%a8-%d9%81%d9%8a%d8%b1%d8%af%d9%8a-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-11,19:00,المغرب,سيراليون | يلاكورة,friendly matches nations,مباراة المغرب و سيراليون | يلاكورة,https://www.yallakora.com/friendly-matches-nations/2438/match/92982/%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8--%d8%b3%d9%8a%d8%b1%d8%a7%d9%84%d9%8a%d9%88%d9%86-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%88%d8%af%d9%8a%d8%a9-%d9%85%d9%86%d8%aa%d8%ae%d8%a8%d8%a7%d8%aa
2024-01-15,14:00,أسوان,السكة الحديد مودرن | يلاكورة,egyptian second division,مباراة أسوان و السكة الحديد مودرن | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92869/%d8%a3%d8%b3%d9%88%d8%a7%d9%86-%d8%a7%d9%84%d8%b3%d9%83%d8%a9-%d8%a7%d9%84%d8%ad%d8%af%d9%8a%d8%af-%d9%85%d9%88%d8%af%d8%b1%d9%86-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-15,14:00,القناة,وادي دجلة | يلاكورة,egyptian second division,مباراة القناة و وادي دجلة | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92870/%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a9-%d9%88%d8%a7%d8%af%d9%8a-%d8%af%d8%ac%d9%84%d8%a9-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-15,14:00,المصرية للاتصالات,بروكسي | يلاكورة,egyptian second division,مباراة المصرية للاتصالات و بروكسي | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92867/%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%aa%d8%b5%d8%a7%d9%84%d8%a7%d8%aa-%d8%a8%d8%b1%d9%88%d9%83%d8%b3%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-15,14:00,بترول أسيوط,طنطا‏ | يلاكورة,egyptian second division,مباراة بترول أسيوط و طنطا‏ | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92871/%d8%a8%d8%aa%d8%b1%d9%88%d9%84-%d8%a3%d8%b3%d9%8a%d9%88%d8%b7-%d8%b7%d9%86%d8%b7%d8%a7--%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
2024-01-15,14:00,جمهورية شبين,دكرنس | يلاكورة,egyptian second division,مباراة جمهورية شبين و دكرنس | يلاكورة,https://www.yallakora.com/egyptian-second-division/2862/match/92864/%d8%ac%d9%85%d9%87%d9%88%d8%b1%d9%8a%d8%a9-%d8%b4%d8%a8%d9%8a%d9%86-%d8%af%d9%83%d8%b1%d9%86%d8%b3-%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%82%d8%b3%d9%85-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a-%d8%a3
